Month,UPI_Volume_inlakhs,UPI_Value_inCr,Credit_Volume_inlakhs,Credit_Value_inCr,Debit_Volume_inlakhs,Debit_Value_inCr,ATM_Debit_Volume_inlakhs,ATM_Debit_Value_inCr
2023-01-01,80385.88,1299058.78,2593.52054,127682.395559395,2510.09094,55777.952746862,5709.48261,270595.343654418
2023-02-01,75347.57,1235846.58,2323.20224,118684.323662248,2265.3106,49693.385490822,5433.46477,262097.7989911
2023-03-01,86516.33764,1404950.5944224,2634.2898,137311.126904638,2382.49573,53724.0158234,5878.88749,284949.024648691
2023-04-01,88632.59542,1415504.71454413,2592.55046,132768.507199508,2295.38468,54627.3893523731,5667.30618,281247.774068701
2023-05-01,94151.84588,1489145.4422149,2734.74265,140659.599451197,2239.76702,52775.905592956,5655.90831,278080.496533375
2023-06-01,93350.61489,1475464.26115634,2629.04944,137234.338880865,2102.23617,51049.346831379,5540.42939,272642.959589611
2023-07-01,99642.55681,1533536.44104629,2780.8989,145108.320193648,2101.31454,53313.132963137,5553.98241,267869.879527067
2023-08-01,105860.16335,1576536.53795982,2905.77652,148602.00749765,2075.941,52679.668275703,5685.10399,271611.683369746
2023-09-01,105556.87,1579133.18,2739.42907,142319.550735162,1839.04344,46866.438599953,5340.69516,259071.925502748
2023-10-01,114087.9,1715768.34,3200.47713,178569.12678359,1904.23479,52101.140902639,5683.38459,276289.3258
2023-11-01,112352.92,1739740.61,2970.89633,160643.965881132,1771.65904,49394.151362115,5505.75141,275032.398845051
2023-12-01,120202.26,1822949.45,3214.99532,165119.23511003,1768.1564,47934.519404203,5428.47035,267842.503582792
2024-01-01,122030.18,1841083.97,3289.51519,166443.933666586,1644.6753,45486.573532701,5272.18696,259326.325158527
2024-02-01,121026.73,1827869.35,3112.44411,149206.370366302,1522.47458,41452.0718799601,5139.16828,255808.936638088
2024-03-01,134400.04,1978353.23,3439.37776,164459.076558307,1594.7514,44748.947392683,5528.6264,276713.838853524
2024-04-01,133039.94,1964464.52,3441.50699,156498.377889571,1518.61472,43911.091896934,5207.60143,264456.72741179
2024-05-01,140358.43,2044937.05,3601.35663,164955.263747157,1503.81627,43564.966516437,5133.5241,258784.979855776
2024-06-01,138851.42,2007081.2,3579.49455,158822.101380227,1423.93548,41258.8625352084,5045.81442,253843.903649873
2024-07-01,144355.54,2064292.41,3837.79537,172670.20552073,1456.55829,44764.66719203,5040.14444,248967.695930268
2024-08-01,149630.47,2060735.57,3900.49324,168184.192640946,1422.44889,43541.834490858,5128.53446,253703.451274743
2024-09-01,150417.47,2063994.71,3921.62365,176202.05391173,1353.64044,40101.507873759,4922.17655,243929.532208667
2024-10-01,165849.66,2349821.46,4332.13786,201788.905015753,1427.17406,46829.751251559,5515.23295,284076.147498036
2024-11-01,154820.21,2155187.41,3936.03746,169298.163539865,1231.88968,39010.006927943,4734.6148,240470.590784177
2024-12-01,167300.09,2324699.94,4328.49503,187949.421330207,1280.09805,40598.847723371,4923.54062,251160.643540641
2025-01-01,169960.01,2348037.11,4305.72385,184126.165173634,1216.69427,38963.364902577,4883.53232,250646.060730206
2025-02-01,161061.93,2196481.7,3969.5909,167207.96449526,1082.49702,34314.043555164,4473.7689,234407.962815308
2025-03-01,183015.08,2477221.59,4586.50423,201493.898499799,1203.01951,39054.681669209,4957.21528,262539.794666596
2025-04-01,178934.24,2394925.87,4502.70226,184237.408605768,1170.93484,38113.116037067,4578.05976,243493.553580905
2025-05-01,186774.6,2514297.01,4676.93491,189831.642827561,1150.46827,36978.432588403,4579.87566,244944.908328709
2025-06-01,183950.06,2403930.69,4587.10133,183088.135537434,1085.72071,35463.4122775409,4358.58139,228734.669581592
2025-07-01,194679.48,2508498.1,4861.81121,193849.415862779,1120.6097,38137.506913987,4447.6552,231722.428538561
2025-08-01,200083.1,2485472.9,4935.77176,191169.899264653,1120.80272,37406.310724843,4601.36709,238883.151134951
2025-09-01,196334.33,2489736.52,4952.40648,216706.990765325,1047.39031,36775.699078462,4370.90119,229713.384524986
2025-10-01,207009.21,2727790.71,5182.89549,214230.300951663,1096.24575,42143.012379736,4636.33544,250321.454326385
2025-11-01,204669.79,2631632.64,5029.84178,188799.009889649,1012.11314,34143.386568867,4380.22645,234054.556200808
2025-12-01,216346.68,2796712.71,5398.34125,204686.606452167,1049.2403,37274.380087198,4444.01793,238924.801099777
2026-01-01,217034.45,2833481.26,5397.11275,199084.866031139,1018.29499,37956.691164684,4412.00393,239172.025352446
2026-02-01,203941.84,2684229.3,4937.955,177291.983,917.122,33134.625,4145.117,230241.73
2026-03-01,226411.08,2952542.03,5774.765,219494.691,1013.174,37948.392,4439.993,248419.035
